filter,n,target_fpr,load_factor,phase,ops,ops_per_sec_mean,ops_per_sec_std,failure_rate,avg_kicks_per_insert,stash_inserts,avg_probe_len_insert,avg_cluster_len,max_cluster_len
cuckoo,1000000,0.01,0.4,insert,838860,1.73362e+07,844829,0,0.00106931,0,0,0,0
cuckoo,1000000,0.01,0.4,delete,838860,1.97006e+07,864545,0,0.00106931,0,0,0,0
cuckoo,1000000,0.01,0.45,insert,943718,1.72216e+07,1.46957e+06,0,0.00225406,0,0,0,0
cuckoo,1000000,0.01,0.45,delete,943718,1.84274e+07,987534,0,0.00225406,0,0,0,0
cuckoo,1000000,0.01,0.5,insert,1048576,1.69306e+07,520249,0,0.00439339,0,0,0,0
cuckoo,1000000,0.01,0.5,delete,1048576,1.87626e+07,291460,0,0.00439339,0,0,0,0
cuckoo,1000000,0.01,0.55,insert,1153433,1.47216e+07,2.07454e+06,0,0.00801416,0,0,0,0
cuckoo,1000000,0.01,0.55,delete,1153433,1.70294e+07,316919,0,0.00801416,0,0,0,0
cuckoo,1000000,0.01,0.6,insert,1258291,1.35829e+07,1.64022e+06,0,0.0140513,0,0,0,0
cuckoo,1000000,0.01,0.6,delete,1258291,1.53187e+07,1.58628e+06,0,0.0140513,0,0,0,0
cuckoo,1000000,0.01,0.65,insert,1363148,1.33536e+07,1e+06,0,0.0237594,0,0,0,0
cuckoo,1000000,0.01,0.65,delete,1363148,1.56065e+07,284669,0,0.0237594,0,0,0,0
cuckoo,1000000,0.01,0.7,insert,1468006,1.26308e+07,414909,0,0.0392684,0,0,0,0
cuckoo,1000000,0.01,0.7,delete,1468006,1.50939e+07,569372,0,0.0392684,0,0,0,0
cuckoo,1000000,0.01,0.75,insert,1572864,1.13033e+07,290890,0,0.0642175,0,0,0,0
cuckoo,1000000,0.01,0.75,delete,1572864,1.41951e+07,621086,0,0.0642175,0,0,0,0
cuckoo,1000000,0.01,0.8,insert,1677721,9.79451e+06,421798,0,0.106648,0,0,0,0
cuckoo,1000000,0.01,0.8,delete,1677721,1.31175e+07,980379,0,0.106648,0,0,0,0
cuckoo,1000000,0.01,0.85,insert,1782579,8.28267e+06,132967,0,0.182806,0,0,0,0
cuckoo,1000000,0.01,0.85,delete,1782579,1.29077e+07,313720,0,0.182806,0,0,0,0
cuckoo,1000000,0.01,0.9,insert,1887436,6.36714e+06,231507,0,0.345541,0,0,0,0
cuckoo,1000000,0.01,0.9,delete,1887436,1.19467e+07,679023,0,0.345541,0,0,0,0
cuckoo,1000000,0.01,0.95,insert,1992294,3.39614e+06,188445,0,0.905032,0,0,0,0
cuckoo,1000000,0.01,0.95,delete,1992294,1.01067e+07,810088,0,0.905032,0,0,0,0
quotient,1000000,0.01,0.4,insert,838860,1.52345e+08,6.79396e+06,0,0,0,1.3303,2.01815,34
quotient,1000000,0.01,0.4,delete,838860,1.36939e+08,2.21689e+07,0,0,0,1.3303,2.01815,34
quotient,1000000,0.01,0.45,insert,943718,1.42602e+08,7.67599e+06,0,0,0,1.40515,2.2532,44
quotient,1000000,0.01,0.45,delete,943718,1.15588e+08,1.01478e+07,0,0,0,1.40515,2.2532,44
quotient,1000000,0.01,0.5,insert,1048576,1.28618e+08,5.85573e+06,0,0,0,1.49508,2.53358,52
quotient,1000000,0.01,0.5,delete,1048576,1.11618e+08,9.50157e+06,0,0,0,1.49508,2.53358,52
quotient,1000000,0.01,0.55,insert,1153433,1.08175e+08,1.30119e+07,0,0,0,1.60181,2.87782,63
quotient,1000000,0.01,0.55,delete,1153433,1.03866e+08,1.23352e+07,0,0,0,1.60181,2.87782,63
quotient,1000000,0.01,0.6,insert,1258291,1.11767e+08,1.83951e+06,0,0,0,1.73528,3.30296,83
quotient,1000000,0.01,0.6,delete,1258291,9.88635e+07,2.77002e+07,0,0,0,1.73528,3.30296,83
quotient,1000000,0.01,0.65,insert,1363148,8.86829e+07,1.27639e+07,0,0,0,1.90484,3.84935,105
quotient,1000000,0.01,0.65,delete,1363148,8.71974e+07,7.97812e+06,0,0,0,1.90484,3.84935,105
quotient,1000000,0.01,0.7,insert,1468006,8.06056e+07,1.42259e+07,0,0,0,2.12995,4.57073,132
quotient,1000000,0.01,0.7,delete,1468006,8.14603e+07,1.07924e+07,0,0,0,2.12995,4.57073,132
quotient,1000000,0.01,0.75,insert,1572864,8.43439e+07,3.45116e+06,0,0,0,2.43263,5.56203,191
quotient,1000000,0.01,0.75,delete,1572864,7.91033e+07,8.92604e+06,0,0,0,2.43263,5.56203,191
quotient,1000000,0.01,0.8,insert,1677721,6.37121e+07,8.73076e+06,0,0,0,2.854,7.00768,252
quotient,1000000,0.01,0.8,delete,1677721,5.17971e+07,1.91574e+07,0,0,0,2.854,7.00768,252
quotient,1000000,0.01,0.85,insert,1782579,6.16708e+07,1.06728e+07,0,0,0,3.49022,9.27565,350
quotient,1000000,0.01,0.85,delete,1782579,6.38669e+07,1.89956e+06,0,0,0,3.49022,9.27565,350
quotient,1000000,0.01,0.9,insert,1887436,5.24515e+07,8.86598e+06,0,0,0,4.50645,13.3038,507
quotient,1000000,0.01,0.9,delete,1887436,5.98981e+07,2.16329e+06,0,0,0,4.50645,13.3038,507
quotient,1000000,0.01,0.95,insert,1992294,5.46573e+07,6.98222e+06,0,0,0,6.29054,21.7135,872
quotient,1000000,0.01,0.95,delete,1992294,4.86376e+07,3.09813e+06,0,0,0,6.29054,21.7135,872
