filter,n,target_fpr,achieved_fpr,bpe,workload,neg_share,ops,ops_per_sec,p50_ns,p95_ns,p99_ns
bloom_blocked,1000000,0.01,0.231328,9.58515,read_only,0,2000000,1.67658e+07,30,40,59
bloom_blocked,1000000,0.01,0.231328,9.58515,read_only,0.5,2000000,1.73634e+07,30,40,108
bloom_blocked,1000000,0.01,0.231328,9.58515,read_only,0.9,2000000,1.68113e+07,39,49,108
cuckoo,1000000,0.01,0.015055,33.5544,read_only,0,2000000,3.93835e+06,227,444,573
cuckoo,1000000,0.01,0.015055,33.5544,read_only,0.5,2000000,3.57233e+06,237,483,641
cuckoo,1000000,0.01,0.015055,33.5544,read_only,0.9,2000000,3.64282e+06,237,455,592
quotient,1000000,0.01,0.005098,50.3316,read_only,0,2000000,1.32308e+07,30,128,237
quotient,1000000,0.01,0.005098,50.3316,read_only,0.5,2000000,1.21427e+07,39,129,267
quotient,1000000,0.01,0.005098,50.3316,read_only,0.9,2000000,1.08516e+07,40,139,307
xor,1000000,0.01,0.003316,33.5544,read_only,0,2000000,1.66138e+07,30,108,148
xor,1000000,0.01,0.003316,33.5544,read_only,0.5,2000000,1.62355e+07,30,109,168
xor,1000000,0.01,0.003316,33.5544,read_only,0.9,2000000,1.65561e+07,30,108,148
