filter,n,target_fpr,achieved_fpr,bpe,workload,neg_share,ops,ops_per_sec_mean,ops_per_sec_std,p50_ns_mean,p50_ns_std,p95_ns_mean,p95_ns_std,p99_ns_mean,p99_ns_std
bloom_blocked,1000000,0.01,0.231328,9.58515,read_only,0,2000000,1.83138e+07,742160,29.2,0.447214,41,4.47214,60.8,26.3856
bloom_blocked,1000000,0.01,0.231328,9.58515,read_only,0.5,2000000,1.80686e+07,160169,30,0,41.8,4.02492,52.8,5.21536
bloom_blocked,1000000,0.01,0.231328,9.58515,read_only,0.9,2000000,1.74293e+07,298101,39,0,47,3.937,53,5.47723
cuckoo,1000000,0.01,0.015055,33.5544,read_only,0,2000000,4.24131e+06,231975,219,5.47723,404.6,23.5436,563.8,8.5557
cuckoo,1000000,0.01,0.015055,33.5544,read_only,0.5,2000000,3.92731e+06,202566,227,4.47214,446.2,19.9424,608.8,38.5642
cuckoo,1000000,0.01,0.015055,33.5544,read_only,0.9,2000000,3.16278e+06,979108,235.2,3.42053,457.4,10.3827,599.6,11.1714
quotient,1000000,0.01,0.005098,50.3316,read_only,0,2000000,1.51193e+07,876501,30,0,117,5.47723,183.6,23.7129
quotient,1000000,0.01,0.005098,50.3316,read_only,0.5,2000000,1.43726e+07,837826,34.6,4.9295,123,4.47214,187.6,27.4099
quotient,1000000,0.01,0.005098,50.3316,read_only,0.9,2000000,1.44625e+07,965552,32.8,4.02492,123,4.47214,187.8,38.0552
xor,1000000,0.01,0.003316,33.5544,read_only,0,2000000,1.78198e+07,171690,29.4,0.547723,40.4,0.547723,121.8,3.70135
xor,1000000,0.01,0.003316,33.5544,read_only,0.5,2000000,1.82838e+07,357727,29,0,39.2,0.447214,119.2,4.38178
xor,1000000,0.01,0.003316,33.5544,read_only,0.9,2000000,1.83452e+07,61010.3,29,0,39,0,117.4,0.547723
