filter,n,target_fpr,achieved_fpr,bpe
bloom_blocked,1000000,0.05,0.239443,6.23565
cuckoo,1000000,0.05,0.014851,33.5544
quotient,1000000,0.05,0.005144,50.3316
xor,1000000,0.05,0.003434,33.5544
bloom_blocked,1000000,0.01,0.232887,9.58515
cuckoo,1000000,0.01,0.014851,33.5544
quotient,1000000,0.01,0.005144,50.3316
xor,1000000,0.01,0.003434,33.5544
bloom_blocked,1000000,0.001,0.199315,14.378
cuckoo,1000000,0.001,0.014851,33.5544
quotient,1000000,0.001,0.001305,50.3316
xor,1000000,0.001,0.000876,33.5544
bloom_blocked,5000000,0.05,0.239443,6.23524
cuckoo,5000000,0.05,0.0185794,26.8435
quotient,5000000,0.05,0.009728,40.2653
xor,5000000,0.05,0.0036838,26.8435
bloom_blocked,5000000,0.01,0.231938,9.58515
cuckoo,5000000,0.01,0.0185794,26.8435
quotient,5000000,0.01,0.009728,40.2653
xor,5000000,0.01,0.0036838,26.8435
bloom_blocked,5000000,0.001,0.199668,14.3777
cuckoo,5000000,0.001,0.0185794,26.8435
quotient,5000000,0.001,0.0025034,40.2653
xor,5000000,0.001,0.0009092,26.8435
bloom_blocked,10000000,0.05,0.239311,6.23524
cuckoo,10000000,0.05,0.0186422,26.8435
quotient,10000000,0.05,0.0097997,40.2653
xor,10000000,0.05,0.0036406,26.8435
bloom_blocked,10000000,0.01,0.231723,9.5851
cuckoo,10000000,0.01,0.0186422,26.8435
quotient,10000000,0.01,0.0097997,40.2653
xor,10000000,0.01,0.0036406,26.8435
bloom_blocked,10000000,0.001,0.1996,14.3776
cuckoo,10000000,0.001,0.0186422,26.8435
quotient,10000000,0.001,0.0024952,40.2653
xor,10000000,0.001,0.0009217,26.8435
