filter,n,target_fpr,workload,neg_share,threads,ops,ops_per_sec
bloom_blocked,1000000,0.01,read_only,0.5,1,2000000,4.48666e+07
bloom_blocked,1000000,0.01,read_only,0.5,2,2000000,8.98849e+07
bloom_blocked,1000000,0.01,read_only,0.5,4,2000000,1.70139e+08
bloom_blocked,1000000,0.01,read_only,0.5,8,2000000,2.45617e+08
bloom_blocked,1000000,0.01,read_mostly,0.5,1,2000000,4.48435e+07
bloom_blocked,1000000,0.01,read_mostly,0.5,2,2000000,7.7713e+07
bloom_blocked,1000000,0.01,read_mostly,0.5,4,2000000,1.23279e+08
bloom_blocked,1000000,0.01,read_mostly,0.5,8,2000000,1.50351e+08
cuckoo,1000000,0.01,read_only,0.5,1,2000000,9.30418e+06
cuckoo,1000000,0.01,read_only,0.5,2,2000000,2.14489e+07
cuckoo,1000000,0.01,read_only,0.5,4,2000000,4.68078e+07
cuckoo,1000000,0.01,read_only,0.5,8,2000000,6.95584e+07
cuckoo,1000000,0.01,read_mostly,0.5,1,2000000,8.71315e+06
cuckoo,1000000,0.01,read_mostly,0.5,2,2000000,1.69526e+07
cuckoo,1000000,0.01,read_mostly,0.5,4,2000000,1.31673e+07
cuckoo,1000000,0.01,read_mostly,0.5,8,2000000,5.97398e+06
quotient,1000000,0.01,read_only,0.5,1,2000000,4.05095e+07
quotient,1000000,0.01,read_only,0.5,2,2000000,8.77753e+07
quotient,1000000,0.01,read_only,0.5,4,2000000,1.60273e+08
quotient,1000000,0.01,read_only,0.5,8,2000000,2.17929e+08
quotient,1000000,0.01,read_mostly,0.5,1,2000000,4.0262e+07
quotient,1000000,0.01,read_mostly,0.5,2,2000000,7.44466e+07
quotient,1000000,0.01,read_mostly,0.5,4,2000000,1.04246e+08
quotient,1000000,0.01,read_mostly,0.5,8,2000000,1.0844e+08
xor,1000000,0.01,read_only,0.5,1,2000000,6.13513e+07
xor,1000000,0.01,read_only,0.5,2,2000000,1.22523e+08
xor,1000000,0.01,read_only,0.5,4,2000000,2.48289e+08
xor,1000000,0.01,read_only,0.5,8,2000000,3.05555e+08
xor,1000000,0.01,read_mostly,0.5,1,2000000,6.15601e+07
xor,1000000,0.01,read_mostly,0.5,2,2000000,1.21436e+08
xor,1000000,0.01,read_mostly,0.5,4,2000000,2.26711e+08
xor,1000000,0.01,read_mostly,0.5,8,2000000,3.1262e+08
